Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
Alan Poindexter,1998,17,Deceased,22590,"Pasadena, CA",Male,Georgia Institute of Technology; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy,2,669,0,0,"STS-122 (Atlantis), STS-131 (Discovery)",41091,
Mark Polansky,1996,16,Retired,20608,"Paterson, NJ",Male,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,,,3,995,0,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,
Charles Precourt,1990,13,Retired,20269,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
William Readdy,1987,12,Retired,19017,"Quonset Point, RI",Male,US Naval Academy,Aerospace Engineering,,Captain,US Navy (Retired),3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)",,
Kenneth Reightler Jr,1987,12,Retired,18711,"Patuxent River, MD",Male,US Naval Academy; US Naval Postgraduate School; University of Southern California,Aerospace Engineering,Aeronautical Engineering; Systems Management,Captain,US Navy (Retired),2,327,0,0,"STS-48 (Discovery), STS-60 (Discovery)",,
James Reilly II,1995,15,Retired,19801,"Mountain Home Air Force Base, ID",Male,University of Texas-Dallas,Geosciences,Geosciences,,,3,854,5,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)",,
Garrett Reisman,1998,17,Retired,24878,"Morristown, NJ",Male,University of Pennsylvania; California Institute of Technology,Economics,Mechanical  Engineering,,,2,2571,3,21,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)",,
Judith Resnik,1978,8,Deceased,17993,"Akron, OH",Female,Carnegie-Mellon University; University of Maryland,Electrical Engineering,Electrical Engineering,,,2,144,0,0,"STS 41-D (Discovery), STS 51-L (Challenger)",31440,STS 51-L (Challenger)
Paul Richards,1996,16,Management,23517,"Scranton, PA",Male,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,,,1,307,1,6,STS-102 (Discovery),,
Richard Richards,1980,9,Retired,17038,"Key West, FL",Male,University of Missouri; University of West Florida,Chemical Engineering,Aeronautical Systems,Captain,US Navy (Retired),4,813,0,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",,
Sally Ride,1978,8,Deceased,18774,"Los Angeles, CA",Female,Stanford University,Physics; English,Physics,,,2,343,0,0,"STS-7 (Challenger), STS 41-G (Challenger)",41113,
Patricia Robertson,1998,17,Deceased,23082,"Indiana, PA",Female,Indiana University of Pennsylvania; Medical College of Pennsylvania,Biology,Medicine,,,0,0,0,0,,37035,
Stephen Robinson,1995,15,Retired,20388,"Sacramento, CA",Male,University of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,,,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,
Kent Rominger,1992,14,Retired,20674,"Del Norte, CO",Male,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,Captain,US Navy (Retired),5,1611,0,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,
Stuart Roosa,1966,5,Deceased,12282,"Durango, CO",Male,University of Colorado,Aeronautical Engineering,,Colonel,US Air Force (Retired),1,216,0,0,Apollo 14,34680,
Jerry Ross,1980,9,Retired,17552,"Crown Point, IN",Male,Purdue University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)",,
Kathleen Rubins,2009,20,Active,28777,"Farmington, CT",Female,University of California-San Diego; Stanford University,Molecular Biology,Cancer Biology,,,1,2762,2,13,ISS-48/49 (Soyuz),,
Mario Runco Jr ,1987,12,Management,19019,"Bronx, NY",Male,City College of New York; Rutgers University,Earth & Planetary Science,Atmospheric Physics,Lieutenant Commander,US Navy (Retired),3,551,0,0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)",37004,
Albert Sacco Jr,,,Retired,18021,"Boston, MA",Male,Northeastern University; MIT,Chemical Engineering,Chemical Engineering,,,1,381,0,0,STS-73 (Columbia),,
Robert Satcher Jr,2004,19,Retired,24007,"Hampton, VA",Male,MIT; Harvard University,Chemical Engineering,Chemical Engineering; Medicine,,,1,259,2,12,STS-129 (Atlantis),,
Walter Schirra Jr,1959,1,Deceased,8472,"Hackensack, NJ",Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),3,295,0,0,"Mercury 8, Gemini 6, Apollo 7",39204,
Harrison Schmitt,1965,4,Retired,12968,"Santa Rita, NM",Male,California Institute of Technology; Harvard University,Geology,Geology,,,1,301,3,22,Apollo 17,,
Russell Schweickart,1963,3,Retired,13082,"Neptune, NJ",Male,MIT,Aeronautics & Astronautics,Aeronautics & Astronautics,,,1,241,1,1,Apollo 9,,
Francis Scobee,1978,8,Deceased,14384,"Cle Elum, WA",Male,University of Arizona,Aerospace Engineering,,Major,US Air Force (Retired),2,167,0,0,"STS 41-C (Challenger), STS 51-L (Challenger)",31440,STS 51-L (Challenger)
David Scott,1963,3,Retired,11846,"San Antonio, TX",Male,US Military Academy; MIT,,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19,"Gemini 8, Apollo 9, Apollo 15",,
Winston Scott,1992,14,Retired,18481,"Miami, FL",Male,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,Captain,US Navy (Retired),2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)",,
Paul Scully-Power,,,Retired,16220,"Sydney, Australia",Male,University of Sydney,Applied Mathematics,,,,1,197,0,0,STS 41-G (Challenger),,
Richard Searfoss,1990,13,Retired,20611,"Mount Clemens, MI",Male,US Air Force Academy; California Institute of Technology,Aeronautical Engineering,Aeronautics,Colonel,US Air Force (Retired),3,939,0,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",,
Margaret Seddon,1978,8,Retired,17479,"Murfreesboro, TN",Female,University of California-Berkeley; University of Tennessee,Physiology,Medicine,,,3,722,0,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)",,
Elliot See Jr,1962,2,Deceased,10066,"Dallas, TX",Male,US Merchant Marine Academy; University of California-Los Angeles,,Engineering,,,0,0,0,0,,24166,
Ronald Sega,1990,13,Retired,19332,"Cleveland, OH",Male,US Air Force Academy; Ohio State University; University of Colorado,Physics & Mathematics,Physics; Electrical Engineering,Colonel,US Air Force Reserves (Retired),2,420,0,0,"STS-60 (Discovery), STS-76 (Atlantis)",,
Piers Sellers,1996,16,Management,20190,"Crowborough, England",Male,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,,,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",,
Brewster Shaw Jr,1978,8,Retired,16573,"Cass City, MI",Male,University of Wisconsin,Engineering Mechanics,Engineering Mechanics,Colonel,US Air Force (Retired),3,533,0,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)",,
Alan Shepard Jr,1959,1,Deceased,8723,"East Derry, NH",Male,US Naval Academy,Naval Sciences,,Rear Admiral,US Navy (Retired),2,216,2,9,"Mercury 3, Apollo 14",35997,
William Shepherd,1984,10,Retired,18105,"Oak Ridge, TN",Male,US Naval Academy; MIT,Aerospace Engineering,Mechanical  Engineering,Captain,US Navy (Retired),4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)",,
Loren Shriver,1978,8,Retired,16338,"Jefferson, IA",Male,US Air Force Academy; Purdue University,Aeronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),3,386,0,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)",,
Donald Slayton,1959,1,Deceased,8827,"Sparta, WI",Male,University of Minnesota,Aeronautical Engineering,,Major,US Air Force Reserves,1,217,0,0,Apollo-Soyuz Test Project,34133,
Michael Smith,1980,9,Deceased,16557,"Beaufort, NC",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,Captain,US Navy,1,0,0,0,STS 51-L (Challenger),31440,STS 51-L (Challenger)
Steven Smith,1992,14,Management,21549,"Phoenix, AZ",Male,Stanford University,Electrical Engineering,Electrical Engineering,,,4,960,7,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,
Sherwood Spring,1980,9,Retired,16338,"Hartford, CT",Male,US Military Academy; University of Arizona,Engineering,Aerospace Engineering,Colonel,US Army (Retired),1,165,2,12,STS 61-B (Atlantis),,
Robert Springer,1980,9,Retired,15482,"St. Louis, MO",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,Colonel,US Marine Corps (Retired),2,237,0,0,"STS-29 (Discovery), STS-38 (Atlantis)",,
Thomas Stafford,1962,2,Retired,11218,"Weatherford, OK",Male,US Naval Academy,,,Lieutenant General,US Air Force (Retired),4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,
Heidemarie Stefanyshyn-Piper,1996,16,Retired,23049,"St. Paul, MN",Female,MIT,Mechanical Engineering,,Captain,US Navy,2,663,2,33,"STS-115 (Atlantis), STS-126 (Endeavor)",,
Robert Stewart,1978,8,Retired,15566,"Washington, DC",Male,University of Southern Mississippi; University of Texas-Arlington,Mathematics,Aerospace Engineering,Brigadier General,US Army (Retired),2,289,2,12,"STS 41-B (Challenger), STS 51-J (Atlantis)",,
Nicole Stott,2000,18,Active,22969,"Albany, NY",Female,Embry-Riddle Aeronautical University; University of Central Florida,Aeronautical Engineering,Engineering Management,,,2,2477,1,6,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,
Frederick Sturckow,1995,15,Retired,22504,"La Mesa, CA",Male,California Polytechnic State University,Mechanical Engineering,,Colonel,US Marine Corps (Retired),4,1233,0,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Kathryn Sullivan,1978,8,Retired,18904,"Patterson, NJ",Female,University of California-Santa Cruz; Dalhousie University,Earth Sciences,Earth Sciences; Geology,,,3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)",,
Steven Swanson,1998,17,Active,22253,"Syracuse, NY",Male,University of Colorado; Florida Atlantic University; Texas A&M University,Engineering Physics,Computer Systems; Computer Science,,,3,4700,5,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",,
John Swigert Jr,1966,5,Deceased,11565,"Denver, CO",Male,University of Colorado; Rensselaer Polytechnic Institute; University of Hartford,Mechanical Engineering,Aerospace Science; Business Administration,,,1,142,0,0,Apollo 13,30312,
Daniel Tani,1996,16,Retired,22313,"Ridley Park, PA",Male,MIT,Mechanical Engineering,Mechanical Engineering,,,2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,
Joseph Tanner,1992,14,Retired,18284,"Danville, IL",Male,University of Illinois,Mechanical Engineering,,,,4,1045,7,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,
Norman Thagard,1978,8,Retired,15890,"Marianna, FL",Male,Florida State University; University of Texas,Engineering Science,Engineering Science; Medicine,,,5,3373,0,0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)",,
Andrew W. Thomas,1992,14,Management,18980,"Adelaide, Australia",Male,University of Adelaide,Mechanical Engineering,Mechanical Engineering,,,4,4257,1,6,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",,
Donald Thomas,1990,13,Retired,20215,"Cleveland, OH",Male,Case Western Reserve University; Cornell University,Physics,Materials Science,,,4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,
Stephen Thorne,1985,11,Deceased,19401,"Frankfurt, West Germany",Male,US Naval Academy,Engineering,,Lieutenant Commander,US Navy,0,0,0,0,,31556,
Kathryn Thornton,1984,10,Retired,19223,"Montgomery, AL",Female,Auburn University; University of Virginia,Physics,Physics,,,4,975,3,21,"STS-33 (Discovery), STS-49 (Endeavor), STS-61 (Endeavor), STS-73 (Columbia)",,
William Thornton,1967,6,Retired,10697,"Faison, NC",Male,University of North Carolina,Physics,Medicine,,,2,315,0,0,"STS-8 (Challenger), STS 51-B (Challenger)",,
Pierre Thuot,1985,11,Retired,20228,"Groton, CT",Male,US Naval Academy; University of Southern California,Physics,Systems Management,Commander,US Navy,3,654,3,17,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,
Scott Tingle,2009,20,Active,23942,"Attleboro, MA",Male,Southeastern Massachusetts University; Purdue University,Mechanical Engineering,Mechanical Engineering,Commander,US Navy,0,0,0,0,,,
Richard Truly,1969,7,Retired,13831,"Fayette, MS",Male,Georgia Institute of Technology,Aeronautical Engineering,,Vice Admiral,US Navy (Retired),2,199,0,0,"STS-2 (Columbia), STS-8 (Challenger)",,
Lodewijk den Berg,,,Retired,11772,"Sluiskil, Netherlands",Male,Delft University of Technology; University of Delaware,Chemical Engineering,Applied Science,,,1,168,0,0,STS 51-B (Challenger),,
James van Hoften,1978,8,Retired,16234,"Fresno, CA",Male,University of California-Berkeley; Colorado State University,Civil Engineering,Hydraulic Engineering; Fluid Mechanics,,,2,338,4,22,"STS 41-C (Challenger), STS 51-I (Discovery)",,
Mark Vande Hei,2009,20,Active,24421,"Falls Church, VA",Male,Saint Johnâ€™s University; Stanford University,Physics,Applied Physics,Colonel,US Army,0,0,0,0,,,
Charles Veach,1984,10,Deceased,16333,"Chicago, IL",Male,US Air Force Academy,Engineering Management,,,,2,436,0,0,"STS-39 (Discovery), STS-52 (Columbia)",34975,
Terry Virts Jr,2000,18,Active,24807,"Baltimore, MD",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Mathematics,Aeronautics,Colonel,US Air Force,2,5122,3,18,"STS-130 (Endeavor), ISS-42/43 (Soyuz)",,
James Voss,1987,12,Retired,17960,"Cordova, AL",Male,Auburn University; University of Colorado,Aerospace Engineering,Aerospace Engineering Sciences,Colonel,US Army (Retired),5,4853,4,22,"STS-44 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor), STS-101 (Atlantis), STS-102/105 (Discovery)",,
Janice Voss,1990,13,Deceased,20736,"South Bend, IN",Female,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,,,5,1179,0,0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",40945,
Rex Walheim,1996,16,Active,22929,"Redwood, CA",Male,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,Colonel,US Air Force (Retired),3,872,5,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,
Charles Walker,,,Retired,17774,"Bedford, IN",Male,Purdue University,Aeronautical & Astronautical Engineering,,,,3,477,0,0,"STS 41-D (Discovery), STS 51-D (Discovery), STS 61-B (Atlantis)",,
David Walker,1978,8,Deceased,16212,"Columbus, GA",Male,US Naval Academy,Naval Sciences,,Captain,US Navy (Retired),4,724,0,0,"STS 51-A (Discovery), STS-30 (Atlantis), STS-53 (Discovery), STS-69 (Endeavor)",37004,
Shannon Walker,2004,19,Active,23897,"Houston, TX",Female,Rice University,Space Physics,Space Physics,,,1,3919,0,0,ISS-24/25 (Soyuz),,
Carl Walz,1990,13,Retired,20338,"Cleveland, OH",Male,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,
Taylor Wang,,,Retired,14778,"Jiangxi, China",Male,University of California at Los Angeles,Physics,Physics,,,1,168,0,0,STS 51-B (Challenger),,
Mary Weber,1992,14,Retired,22882,"Cleveland, OH",Female,Purdue University; University of California-Berkeley,Chemical Engineering,Physical Chemistry,,,2,450,0,0,"STS-70 (Discovery), STS-101 (Atlantis)",,
Paul Weitz,1966,5,Retired,11865,"Erie, PA",Male,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,793,1,2,"Skylab 2, STS-6 (Challenger)",,
James Wetherbee,1984,10,Retired,19325,"Flushing, NY",Male,University of Notre Dame,Aerospace Engineering,,Captain,US Navy (Retired),6,1594,0,0,"STS-32 (Columbia), STS-52 (Columbia), STS-63 (Discovery), STS-86 (Atlantis), STS-102 (Discovery), STS-113 (Endeavor)",,
Douglas Wheelock,1998,17,Active,22041,"Binghamton, NY",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army,2,4281,6,43,"STS-120 (Discovery), ISS-24/25 (Soyuz)",,
Edward White II,1962,2,Deceased,11276,"San Antonio, TX",Male,US Military Academy; University of Michigan,,Aeronautical Engineering,Lieutenant Colonel,US Air Force,2,97,1,0.5,"Gemini 4, Apollo 1",24499,Apollo 1
Peggy Whitson,1996,16,Active,21955,"Mt. Ayr, IA",Female,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,,,3,11698,7,46,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,
Terrence Wilcutt,1990,13,Management,18202,"Russellville, KY",Male,Western Kentucky University,Mathematics,,,,4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
Clifton Williams Jr,1963,3,Deceased,11958,"Mobile, AL",Male,Auburn University,Mechanical Engineering,,Major,US Marine Corps,0,0,0,0,,24750,
Donald Williams,1978,8,Retired,21229,"Lafayette, IN",Male,Purdue University,Mechanical Engineering,,Captain,US Navy (Retired),2,287,0,0,"STS 51-D (Discovery), STS-34 (Atlantis)",,
Jeffrey Williams,1996,16,Active,21203,"Superior, WI",Male,US Military Academy; US Naval Postgraduate School; US Naval War College,Applied Science & Engineering,Aeronautical Engineering; National Security & Strategic Studies,Colonel,US Army (Retired),4,12818,5,32,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",,
Sunita Williams,1998,17,Active,24004,"Euclid, OH",Female,US Naval Academy; Florida Institute of Technology,Physical Science,Engineering Management,Captain,US Navy,2,7721,7,50,"STS-116/117 (Discovery/Atlantis), ISS-32/33 (Soyuz)",,
Barry Wilmore,2000,18,Active,23009,"Murfreesboro, TN",Male,Tennessee Technological University; University of Tennessee,Electrical Engineering,Electrical Engineering; Aviation Systems,Captain,US Navy,2,4272,4,25,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
Stephanie Wilson,1996,16,Active,24377,"Boston, MA",Female,Harvard University; University of Texas,Engineering Science,Aerospace Engineering,,,3,1031,0,0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,
Reid Wiseman,2009,20,Active,27709,"Baltimore, MD",Male,Rensselaer Polytechnic Institute; Johns Hopkins University,Computer & Systems Engineering,Systems Engineering,Commander,US Navy,1,3968,2,13,ISS-40/41 (Soyuz),,
Peter K. Wisoff,1990,13,Retired,21413,"Norfolk, VA",Male,University of Virginia; Stanford University,Physics,Applied Physics,,,4,1064,3,20,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
David Wolf,1990,13,Retired,20690,"Indianapolis, IN",Male,Purdue University; Indiana University,Electrical Engineering,Medicine,,,3,4044,7,41,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
Neil Woodward III,1998,17,Retired,22853,"Chicago, IL",Male,MIT; University of Texas-Austin; George Washington University,Physics,Physics; Business Management,Commander,US Navy,0,0,0,0,,,
Alfred Worden,1966,5,Retired,11726,"Jackson, MI",Male,US Military Academy; University of Michigan,Military Science,Aeronautical & Astronautical Engineering,Colonel,US Air Force (Retired),1,295,1,0.5,Apollo 15,,
John Young,1962,2,Retired,11225,"San Francisco, CA",Male,Georgia Institute of Technology,Aeronautical Engineering,,Captain,US Navy (Retired),6,835,3,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
George Zamka,1998,17,Retired,22826,"Jersey City, NJ",Male,US Naval Academy; Florida Institute of Technology,Mathematics,Engineering Management,Colonel,US Marine Corps (Retired),2,692,0,0,"STS-120 (Discovery), STS-130 (Endeavor)",,
